gene_symbol,evidence_strength,biological_coherence,translational_relevance,leakage_gate,heterogeneity_gate,positive_score,audit_score,audit_class,rank,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,confidence_class,anchor_secondary,anchor_primary
FHL2,0.75,0.931310889499954,0,1,1,0.625958811324984,0.65814203310201,high_confidence,60,0.697253843553777,0.637640714705461,0.75612231162501,0.118481596919548,stable_high,FALSE,FALSE
ACSS1,0.75,0.928498759799987,0,1,1,0.624974565929996,0.657107183438407,high_confidence,61,0.697586140985197,0.637050523836961,0.753772259813046,0.116721735976085,stable_high,FALSE,FALSE
CRABP2,0.75,0.927921943036178,0,1,1,0.624772680062663,0.656894917754504,high_confidence,62,0.699286605021836,0.638960128984605,0.754301918379703,0.115341789395097,stable_high,FALSE,FALSE
CDCP1,0.5,0.999287535101685,0.3,1,1,0.62475063728559,0.656871741663912,high_confidence,63,0.696753910601521,0.644609211332856,0.746958198990373,0.102348987657517,stable_high,FALSE,FALSE
GSTA2,0.75,0.922546925833739,0,1,1,0.622891424041809,0.654916938309292,high_confidence,64,0.695815238277736,0.637365836970892,0.753645883334776,0.116280046363883,stable_high,FALSE,FALSE
OASL,0.75,0.921091108295989,0,1,1,0.622381887903596,0.65438120473725,high_confidence,65,0.693193731895852,0.626523944150238,0.748569641367261,0.122045697217024,stable_high,FALSE,FALSE
SGSH,0.5,0.992045763037838,0.3,1,1,0.622216017063243,0.654206805767019,high_confidence,66,0.693609898718395,0.49078954787186,0.738853600631162,0.248064052759301,high_uncertain,FALSE,FALSE
SULF2,0.5,0.99038200421617,0.3,1,1,0.62163370147566,0.653594550842596,high_confidence,67,0.693992208281039,0.638390744072571,0.737275176296899,0.0988844322243274,stable_high,FALSE,FALSE
EFNB1,0.5,0.989576780136689,0.3,1,1,0.621351873047841,0.653298232408995,high_confidence,68,0.692463547217317,0.628832951666883,0.740222199571127,0.111389247904243,stable_high,FALSE,FALSE
SLC16A7,0.75,0.911374188255474,0,1,1,0.618980965889416,0.65080542676538,high_confidence,69,0.689350506202121,0.630886521051869,0.740382689031335,0.109496167979466,stable_high,FALSE,FALSE
