scenario,fold100,pval100,neg_top100,v02fp_top1k,ltbp1_rank,gapdh_score,jaccard100,spearman
RAND_0210,21.6707142857143,0.000315516010147151,0,0,581,0,0.70940170940171,0.997387412458242
RAND_0211,28.8942857142857,8.35064971012568e-06,0,1,91,0,0.739130434782609,0.99507164690381
RAND_0212,21.6707142857143,0.000315516010147151,0,0,424,0,0.818181818181818,0.999288148977443
RAND_0213,14.4471428571429,0.00815293421191023,0,0,455,0,0.612903225806452,0.978158664606158
RAND_0214,28.8942857142857,8.35064971012568e-06,0,0,261,0,0.694915254237288,0.992510442855239
RAND_0215,28.8942857142857,8.35064971012568e-06,0,1,220,0,0.739130434782609,0.995084265820412
RAND_0216,21.6707142857143,0.000315516010147151,0,0,371,0,0.652892561983471,0.984028130889537
RAND_0217,28.8942857142857,8.35064971012568e-06,0,0,303,0,0.724137931034483,0.992707057932457
RAND_0218,21.6707142857143,0.000315516010147151,0,0,530,0,0.666666666666667,0.990750488534485
RAND_0219,28.8942857142857,8.35064971012568e-06,0,0,370,0,0.739130434782609,0.99085571943808
RAND_0220,28.8942857142857,8.35064971012568e-06,0,1,78,0,0.886792452830189,0.994012495799493
RAND_0221,21.6707142857143,0.000315516010147151,0,0,582,0,0.680672268907563,0.995003932367613
RAND_0222,28.8942857142857,8.35064971012568e-06,0,1,220,0,0.754385964912281,0.996975739732184
RAND_0223,21.6707142857143,0.000315516010147151,0,0,491,0,0.941747572815534,0.996310358865555
RAND_0224,21.6707142857143,0.000315516010147151,0,0,450,0,0.680672268907563,0.994898243484193
RAND_0225,28.8942857142857,8.35064971012568e-06,0,0,324,0,0.724137931034483,0.998013615351269
RAND_0226,28.8942857142857,8.35064971012568e-06,0,0,431,0,0.851851851851852,0.998866489404078
RAND_0227,14.4471428571429,0.00815293421191023,0,0,677,0,0.652892561983471,0.994115401814957
RAND_0228,28.8942857142857,8.35064971012568e-06,0,1,85,0,0.834862385321101,0.996391499601973
RAND_0229,21.6707142857143,0.000315516010147151,0,0,441,0,0.680672268907563,0.993809188854709
RAND_0230,28.8942857142857,8.35064971012568e-06,0,0,353,0,0.851851851851852,0.996779885201448
RAND_0231,28.8942857142857,8.35064971012568e-06,0,0,361,0,0.724137931034483,0.988559828671057
RAND_0232,28.8942857142857,8.35064971012568e-06,0,1,310,0,0.923076923076923,0.998521557442609
RAND_0233,21.6707142857143,0.000315516010147151,0,0,382,0,0.941747572815534,0.999493815335008
RAND_0234,28.8942857142857,8.35064971012568e-06,0,1,230,0,0.769911504424779,0.997858897957786
RAND_0235,21.6707142857143,0.000315516010147151,0,0,660,0,0.652892561983471,0.994559518089091
RAND_0236,21.6707142857143,0.000315516010147151,0,0,405,0,0.70940170940171,0.993664369396529
RAND_0237,28.8942857142857,8.35064971012568e-06,0,0,296,0,0.851851851851852,0.995876036198197
RAND_0238,28.8942857142857,8.35064971012568e-06,0,0,207,0,0.923076923076923,0.998865782449745
RAND_0239,28.8942857142857,8.35064971012568e-06,0,0,246,0,0.739130434782609,0.997398310047031
RAND_0240,28.8942857142857,8.35064971012568e-06,0,1,44,0,0.739130434782609,0.994734303690451
RAND_0241,28.8942857142857,8.35064971012568e-06,0,0,366,0,0.869158878504673,0.998753561801893
RAND_0242,28.8942857142857,8.35064971012568e-06,0,0,322,0,0.851851851851852,0.998531631164571
RAND_0243,28.8942857142857,8.35064971012568e-06,0,1,135,0,0.785714285714286,0.983675870682031
