gene_symbol,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,rank_median,rank_lo95,rank_hi95,confidence_class,is_hk,is_plasma_hi,leakage_mult,max_I2_meta,rna_pattern_rho,rna_cohort_agreement
SLC25A6,0.248667337771208,0.102739906769398,0.370789669144303,0.268049762374905,3636,1905.475,6027.525,low,FALSE,FALSE,1,80.1352289042739,0.985042773709111,
SLC26A1,0.0526860781845341,0.0163360100273904,0.0928942852029403,0.0765582751755499,7607,6324.275,9538.725,low,FALSE,FALSE,1,86.5634070579639,0.885437825799591,0.75
SLC26A11,0.0302817109152857,0.0130892585532293,0.0846911851031712,0.0716019265499419,8679,6566.175,9672.125,low,FALSE,FALSE,1,95.394812773092,0.975786912031844,0.75
SLC26A2,0.0514333199704773,0.0235437022262798,0.0960921053726397,0.07254840314636,7676,6232.75,9119.15,low,FALSE,FALSE,1,89.1415111233985,0.876515888790537,1
SLC26A3,0.104543872719167,0.0953908032716268,0.258457980987726,0.163067177716099,5979.5,3424.125,6167.525,low,FALSE,FALSE,1,97.1734394039689,0.943060717161167,0
SLC26A4,0.080818370444131,0.0289899488559215,0.125405740307875,0.0964157914519535,6660.5,5262.075,8770.6,low,FALSE,FALSE,1,81.0158640211493,0.980907611062597,1
SLC26A7,0.236561302431238,0.178520865714107,0.351619513514373,0.173098647800265,3783.5,2119.475,4484.175,low,FALSE,FALSE,1,74.343032020807,0.993101627851421,1
SLC26A9,0.278355867598624,0.116583420346049,0.422020935424526,0.305437515078478,3148,1232.325,5579.4,low,FALSE,FALSE,1,74.5388704363936,0.991921171793874,0.25
SLC27A2,0.194189134423699,0.172703785076525,0.468988731553853,0.296284946477328,4265.5,738.425,4564.525,low,FALSE,FALSE,1,95.2629567982195,0.990437720371462,0.75
SLC27A3,0.0904667944291467,0.0361979590724731,0.127647873964538,0.0914499148920648,6335,5251.425,8353.1,low,FALSE,FALSE,1,51.5086826162376,0.939598734915535,0.75
SLC27A4,0.185664965555734,0.166236421015571,0.44843329027242,0.282196869256848,4407,935.8,4652.575,low,FALSE,FALSE,1,94.935292031267,0.974014827915135,0.5
SLC27A5,0.0294804756105976,0.0120137198265982,0.0804317908948743,0.0684180710682761,8748,6672.05,9698.025,low,FALSE,FALSE,1,98.2473612271905,0.985670600874463,0.75
SLC27A6,0.0632057050138938,0.0245636499385716,0.114145207918312,0.08958155797974,7258.5,5702.425,9053.475,low,FALSE,FALSE,1,61.9208838699666,0.933216243729466,0.5
SLC28A1,0.124373335172773,0.107600577122372,0.308082054287686,0.200481477165314,5324,2637.175,5860.15,low,FALSE,FALSE,1,96.5669465210047,0.993193271562415,0.5
SLC28A2,0.13119692165449,0.112372645068362,0.316660848622663,0.204288203554301,5121.5,2489.025,5693.2,low,FALSE,FALSE,1,97.1013589792451,0.980715946914469,0.75
SLC29A2,0.202503257790172,0.0803733801625592,0.270527391162675,0.190154011000115,4138.5,3125.55,6672.225,low,FALSE,FALSE,1,84.1902804816203,0.991189461992171,0.75
SLC29A4,0.0219597351654235,0.00600767782756681,0.0731375808057154,0.0671299029781486,9209,6963.95,9922.1,low,FALSE,FALSE,1,96.8813116267432,0.946396685798628,0.5
