gene_symbol,score_layer,score_direction,score_early,score_serum,score_rescue,positive_score,leakage_mult,het_mult,audit_score_raw,audit_score,is_hk,is_plasma_hi,rescue_eligible
SLC23A1,0.25,0.375,0.991655928196449,0,0,0.32333118563929,1,0.7,0.226331829947503,0.304162780668644,FALSE,FALSE,FALSE
SLC23A2,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SLC24A1,0.25,0,0.603180106554029,0,0,0.170636021310806,1,0.7,0.119445214917564,0.160520014861882,FALSE,FALSE,FALSE
SLC24A2,0.25,0.375,0.991624036908713,0,0,0.323324807381743,1,0.7,0.22632736516722,0.304156780540485,FALSE,FALSE,FALSE
SLC24A3,0.25,0.125,0.593791921188002,0,0,0.1937583842376,1,0.7,0.13563086896632,0.182271588838694,FALSE,FALSE,FALSE
SLC24A4,0,0.375,0,0,0,0.075,1,1,0.075,0.100790987089352,FALSE,FALSE,FALSE
SLC24A5,0,0,0,0,0,0,1,0.3,0,0,FALSE,FALSE,FALSE
SLC25A1,0.5,0.625,0.980698688861172,0,0,0.421139737772234,1,0.7,0.294797816440564,0.396172838811069,FALSE,FALSE,FALSE
SLC25A10,0.5,0.75,0.408832324713199,0,0,0.33176646494264,1,0.3,0.0995299394827919,0.133756277938855,FALSE,FALSE,FALSE
SLC25A11,0.25,0.125,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SLC25A12,0.25,0.25,0.306459782944618,0,0,0.161291956588924,1,1,0.161291956588924,0.216757006855608,FALSE,FALSE,FALSE
SLC25A14,0,0.125,0,0,0,0.025,1,0.3,0.0075,0.0100790987089352,FALSE,FALSE,FALSE
SLC25A15,0.5,0.875,0.995714518299413,0,0,0.474142903659883,1,1,0.474142903659883,0.637191083750551,FALSE,FALSE,FALSE
SLC25A16,0.25,0.125,0.934217700776505,0,0,0.261843540155301,1,0.7,0.183290478108711,0.246320376168751,FALSE,FALSE,FALSE
SLC25A17,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SLC25A18,0.25,0.125,0.872857123428647,0,0,0.24957142468573,1,0.7,0.174699997280011,0.234775802271459,FALSE,FALSE,FALSE
SLC25A2,0.25,0,0.653902177602311,0,0,0.180780435520462,1,1,0.180780435520462,0.242947180567339,FALSE,FALSE,FALSE
SLC25A20,0.5,0.625,0.983107130600872,0,0,0.421621426120174,1,0.3,0.126486427836052,0.169982558866691,FALSE,FALSE,FALSE
SLC25A21,0.5,0.125,0.955422837122743,0,0,0.316084567424549,1,0.3,0.0948253702273646,0.127433902217725,FALSE,FALSE,FALSE
